t, xref,zref, xact,zact 
0.000000, 1.755165, 1.250000, 1.755165, 1.250000 
0.010000, 1.755159, 1.251000, 1.755165, 1.250000 
0.020000, 1.755141, 1.252000, 1.755168, 1.250002 
0.030000, 1.755111, 1.252999, 1.755174, 1.250009 
0.040000, 1.755069, 1.253998, 1.755183, 1.250024 
0.050000, 1.755015, 1.254997, 1.755195, 1.250052 
0.060000, 1.754949, 1.255994, 1.755207, 1.250098 
0.070000, 1.754871, 1.256991, 1.755218, 1.250165 
0.080000, 1.754782, 1.257986, 1.755226, 1.250257 
0.090000, 1.754680, 1.258981, 1.755230, 1.250379 
0.100000, 1.754566, 1.259973, 1.755230, 1.250531 
0.110000, 1.754441, 1.260965, 1.755224, 1.250719 
0.120000, 1.754304, 1.261954, 1.755210, 1.250943 
0.130000, 1.754155, 1.262942, 1.755188, 1.251207 
0.140000, 1.753994, 1.263927, 1.755157, 1.251512 
0.150000, 1.753821, 1.264910, 1.755116, 1.251861 
0.160000, 1.753637, 1.265891, 1.755065, 1.252253 
0.170000, 1.753441, 1.266870, 1.755004, 1.252689 
0.180000, 1.753234, 1.267846, 1.754931, 1.253171 
0.190000, 1.753015, 1.268818, 1.754846, 1.253699 
0.200000, 1.752784, 1.269788, 1.754749, 1.254273 
0.210000, 1.752542, 1.270755, 1.754639, 1.254893 
0.220000, 1.752289, 1.271719, 1.754517, 1.255559 
0.230000, 1.752024, 1.272679, 1.754381, 1.256270 
0.240000, 1.751748, 1.273636, 1.754232, 1.257026 
0.250000, 1.751461, 1.274589, 1.754070, 1.257826 
0.260000, 1.751163, 1.275538, 1.753894, 1.258668 
0.270000, 1.750854, 1.276483, 1.753704, 1.259552 
0.280000, 1.750534, 1.277424, 1.753501, 1.260475 
0.290000, 1.750203, 1.278361, 1.753284, 1.261437 
0.300000, 1.749861, 1.279293, 1.753053, 1.262436 
0.310000, 1.749508, 1.280221, 1.752809, 1.263470 
0.320000, 1.749144, 1.281144, 1.752551, 1.264537 
0.330000, 1.748770, 1.282063, 1.752279, 1.265635 
0.340000, 1.748386, 1.282976, 1.751994, 1.266762 
0.350000, 1.747991, 1.283885, 1.751695, 1.267916 
0.360000, 1.747585, 1.284788, 1.751384, 1.269096 
0.370000, 1.747170, 1.285686, 1.751059, 1.270298 
0.380000, 1.746744, 1.286579, 1.750721, 1.271520 
0.390000, 1.746308, 1.287466, 1.750371, 1.272761 
0.400000, 1.745862, 1.288347, 1.750007, 1.274018 
0.410000, 1.745407, 1.289223, 1.749631, 1.275290 
0.420000, 1.744941, 1.290093, 1.749242, 1.276572 
0.430000, 1.744466, 1.290957, 1.748842, 1.277865 
0.440000, 1.743982, 1.291815, 1.748429, 1.279164 
0.450000, 1.743487, 1.292667, 1.748004, 1.280469 
0.460000, 1.742984, 1.293512, 1.747568, 1.281776 
0.470000, 1.742471, 1.294351, 1.747121, 1.283084 
0.480000, 1.741949, 1.295184, 1.746662, 1.284390 
0.490000, 1.741418, 1.296010, 1.746193, 1.285694 
0.500000, 1.740878, 1.296829, 1.745714, 1.286991 
0.510000, 1.740330, 1.297641, 1.745224, 1.288282 
0.520000, 1.739772, 1.298447, 1.744725, 1.289564 
0.530000, 1.739206, 1.299246, 1.744215, 1.290835 
0.540000, 1.738632, 1.300038, 1.743696, 1.292095 
0.550000, 1.738049, 1.300822, 1.743168, 1.293340 
0.560000, 1.737457, 1.301599, 1.742631, 1.294571 
0.570000, 1.736858, 1.302370, 1.742085, 1.295785 
0.580000, 1.736251, 1.303132, 1.741531, 1.296981 
0.590000, 1.735636, 1.303888, 1.740968, 1.298158 
0.600000, 1.735013, 1.304635, 1.740397, 1.299316 
0.610000, 1.734382, 1.305376, 1.739819, 1.300453 
0.620000, 1.733744, 1.306108, 1.739233, 1.301568 
0.630000, 1.733098, 1.306833, 1.738639, 1.302660 
0.640000, 1.732445, 1.307550, 1.738039, 1.303729 
0.650000, 1.731785, 1.308260, 1.737432, 1.304774 
0.660000, 1.731118, 1.308961, 1.736817, 1.305795 
0.670000, 1.730444, 1.309655, 1.736196, 1.306791 
0.680000, 1.729763, 1.310340, 1.735570, 1.307762 
0.690000, 1.729076, 1.311018, 1.734937, 1.308707 
0.700000, 1.728381, 1.311687, 1.734298, 1.309627 
0.710000, 1.727681, 1.312348, 1.733653, 1.310522 
0.720000, 1.726974, 1.313002, 1.733002, 1.311391 
0.730000, 1.726261, 1.313646, 1.732346, 1.312234 
0.740000, 1.725542, 1.314283, 1.731684, 1.313053 
0.750000, 1.724817, 1.314911, 1.731017, 1.313846 
0.760000, 1.724086, 1.315531, 1.730344, 1.314614 
0.770000, 1.723349, 1.316143, 1.729667, 1.315358 
0.780000, 1.722607, 1.316746, 1.728984, 1.316077 
0.790000, 1.721859, 1.317341, 1.728297, 1.316773 
0.800000, 1.721106, 1.317928, 1.727605, 1.317445 
0.810000, 1.720348, 1.318506, 1.726908, 1.318095 
0.820000, 1.719585, 1.319075, 1.726206, 1.318723 
0.830000, 1.718816, 1.319636, 1.725500, 1.319329 
0.840000, 1.718043, 1.320189, 1.724790, 1.319914 
0.850000, 1.717265, 1.320733, 1.724074, 1.320478 
0.860000, 1.716483, 1.321268, 1.723355, 1.321024 
0.870000, 1.715696, 1.321795, 1.722631, 1.321550 
0.880000, 1.714905, 1.322313, 1.721902, 1.322058 
0.890000, 1.714109, 1.322823, 1.721169, 1.322548 
0.900000, 1.713309, 1.323324, 1.720432, 1.323022 
0.910000, 1.712505, 1.323816, 1.719691, 1.323480 
0.920000, 1.711698, 1.324300, 1.718946, 1.323922 
0.930000, 1.710886, 1.324775, 1.718196, 1.324350 
0.940000, 1.710071, 1.325242, 1.717443, 1.324764 
0.950000, 1.709253, 1.325700, 1.716685, 1.325166 
0.960000, 1.708430, 1.326150, 1.715923, 1.325554 
0.970000, 1.707605, 1.326591, 1.715157, 1.325931 
0.980000, 1.706776, 1.327023, 1.714388, 1.326297 
0.990000, 1.705944, 1.327447, 1.713614, 1.326653 
1.000000, 1.705109, 1.327862, 1.712836, 1.326999 
1.010000, 1.704272, 1.328269, 1.712055, 1.327336 
1.020000, 1.703431, 1.328667, 1.711269, 1.327665 
1.030000, 1.702588, 1.329057, 1.710480, 1.327986 
1.040000, 1.701742, 1.329438, 1.709687, 1.328299 
1.050000, 1.700894, 1.329810, 1.708891, 1.328606 
1.060000, 1.700043, 1.330175, 1.708090, 1.328906 
1.070000, 1.699190, 1.330531, 1.707286, 1.329201 
1.080000, 1.698335, 1.330878, 1.706479, 1.329490 
1.090000, 1.697478, 1.331217, 1.705668, 1.329775 
1.100000, 1.696619, 1.331548, 1.704854, 1.330055 
1.110000, 1.695758, 1.331870, 1.704036, 1.330330 
1.120000, 1.694895, 1.332184, 1.703215, 1.330602 
1.130000, 1.694030, 1.332490, 1.702390, 1.330870 
1.140000, 1.693164, 1.332787, 1.701563, 1.331134 
1.150000, 1.692297, 1.333077, 1.700732, 1.331396 
1.160000, 1.691428, 1.333358, 1.699899, 1.331655 
1.170000, 1.690557, 1.333631, 1.699062, 1.331910 
1.180000, 1.689686, 1.333896, 1.698222, 1.332163 
1.190000, 1.688813, 1.334152, 1.697380, 1.332414 
1.200000, 1.687939, 1.334401, 1.696535, 1.332662 
1.210000, 1.687064, 1.334642, 1.695687, 1.332908 
1.220000, 1.686189, 1.334875, 1.694837, 1.333151 
1.230000, 1.685312, 1.335100, 1.693984, 1.333392 
1.240000, 1.684435, 1.335317, 1.693129, 1.333630 
1.250000, 1.683557, 1.335526, 1.692272, 1.333866 
1.260000, 1.682679, 1.335727, 1.691412, 1.334100 
1.270000, 1.681800, 1.335921, 1.690551, 1.334331 
1.280000, 1.680921, 1.336107, 1.689687, 1.334559 
1.290000, 1.680042, 1.336285, 1.688822, 1.334784 
1.300000, 1.679162, 1.336456, 1.687955, 1.335006 
1.310000, 1.678282, 1.336619, 1.687086, 1.335226 
1.320000, 1.677402, 1.336774, 1.686216, 1.335442 
1.330000, 1.676522, 1.336922, 1.685344, 1.335654 
1.340000, 1.675642, 1.337063, 1.684471, 1.335863 
1.350000, 1.674762, 1.337196, 1.683597, 1.336068 
1.360000, 1.673882, 1.337322, 1.682722, 1.336269 
1.370000, 1.673003, 1.337440, 1.681845, 1.336466 
1.380000, 1.672123, 1.337551, 1.680968, 1.336659 
1.390000, 1.671244, 1.337655, 1.680090, 1.336847 
1.400000, 1.670366, 1.337752, 1.679211, 1.337030 
1.410000, 1.669488, 1.337842, 1.678332, 1.337208 
1.420000, 1.668611, 1.337925, 1.677452, 1.337381 
1.430000, 1.667734, 1.338001, 1.676572, 1.337548 
1.440000, 1.666858, 1.338070, 1.675692, 1.337710 
1.450000, 1.665982, 1.338132, 1.674811, 1.337866 
1.460000, 1.665108, 1.338187, 1.673931, 1.338016 
1.470000, 1.664234, 1.338235, 1.673050, 1.338160 
1.480000, 1.663361, 1.338277, 1.672169, 1.338297 
1.490000, 1.662489, 1.338312, 1.671289, 1.338427 
1.500000, 1.661618, 1.338340, 1.670409, 1.338551 
1.510000, 1.660749, 1.338362, 1.669530, 1.338668 
1.520000, 1.659880, 1.338377, 1.668651, 1.338778 
1.530000, 1.659012, 1.338386, 1.667772, 1.338881 
1.540000, 1.658146, 1.338388, 1.666895, 1.338976 
1.550000, 1.657280, 1.338384, 1.666018, 1.339064 
1.560000, 1.656416, 1.338374, 1.665141, 1.339144 
1.570000, 1.655554, 1.338357, 1.664266, 1.339217 
1.580000, 1.654692, 1.338335, 1.663392, 1.339282 
1.590000, 1.653833, 1.338306, 1.662518, 1.339339 
1.600000, 1.652974, 1.338271, 1.661646, 1.339388 
1.610000, 1.652117, 1.338230, 1.660775, 1.339430 
1.620000, 1.651262, 1.338183, 1.659906, 1.339463 
1.630000, 1.650408, 1.338130, 1.659037, 1.339488 
1.640000, 1.649556, 1.338071, 1.658170, 1.339505 
1.650000, 1.648705, 1.338007, 1.657304, 1.339515 
1.660000, 1.647856, 1.337936, 1.656440, 1.339516 
1.670000, 1.647009, 1.337860, 1.655578, 1.339509 
1.680000, 1.646163, 1.337779, 1.654717, 1.339494 
1.690000, 1.645319, 1.337691, 1.653857, 1.339471 
1.700000, 1.644477, 1.337598, 1.652999, 1.339441 
1.710000, 1.643637, 1.337500, 1.652143, 1.339402 
1.720000, 1.642798, 1.337396, 1.651289, 1.339356 
1.730000, 1.641962, 1.337287, 1.650436, 1.339302 
1.740000, 1.641127, 1.337173, 1.649585, 1.339240 
1.750000, 1.640295, 1.337053, 1.648736, 1.339171 
1.760000, 1.639464, 1.336928, 1.647889, 1.339094 
1.770000, 1.638635, 1.336798, 1.647044, 1.339010 
1.780000, 1.637808, 1.336662, 1.646200, 1.338919 
1.790000, 1.636984, 1.336522, 1.645359, 1.338820 
1.800000, 1.636161, 1.336377, 1.644519, 1.338715 
1.810000, 1.635340, 1.336226, 1.643682, 1.338602 
1.820000, 1.634522, 1.336071, 1.642847, 1.338483 
1.830000, 1.633706, 1.335911, 1.642013, 1.338357 
1.840000, 1.632891, 1.335746, 1.641182, 1.338225 
1.850000, 1.632079, 1.335577, 1.640352, 1.338086 
1.860000, 1.631269, 1.335402, 1.639525, 1.337941 
1.870000, 1.630461, 1.335223, 1.638700, 1.337790 
1.880000, 1.629656, 1.335040, 1.637877, 1.337633 
1.890000, 1.628852, 1.334851, 1.637056, 1.337470 
1.900000, 1.628051, 1.334659, 1.636237, 1.337301 
1.910000, 1.627252, 1.334462, 1.635420, 1.337127 
1.920000, 1.626455, 1.334260, 1.634606, 1.336947 
1.930000, 1.625661, 1.334054, 1.633793, 1.336763 
1.940000, 1.624869, 1.333844, 1.632983, 1.336573 
1.950000, 1.624079, 1.333629, 1.632175, 1.336378 
1.960000, 1.623291, 1.333411, 1.631369, 1.336178 
1.970000, 1.622506, 1.333188, 1.630565, 1.335973 
1.980000, 1.621723, 1.332961, 1.629763, 1.335764 
1.990000, 1.620942, 1.332730, 1.628963, 1.335550 
2.000000, 1.620164, 1.332495, 1.628166, 1.335332 
2.010000, 1.619388, 1.332256, 1.627371, 1.335110 
2.020000, 1.618614, 1.332013, 1.626578, 1.334884 
2.030000, 1.617843, 1.331766, 1.625787, 1.334653 
2.040000, 1.617074, 1.331515, 1.624998, 1.334419 
2.050000, 1.616307, 1.331261, 1.624212, 1.334180 
2.060000, 1.615543, 1.331003, 1.623428, 1.333938 
2.070000, 1.614781, 1.330741, 1.622646, 1.333693 
2.080000, 1.614021, 1.330475, 1.621866, 1.333444 
2.090000, 1.613264, 1.330206, 1.621088, 1.333191 
2.100000, 1.612509, 1.329933, 1.620313, 1.332935 
2.110000, 1.611757, 1.329657, 1.619540, 1.332676 
2.120000, 1.611007, 1.329377, 1.618769, 1.332413 
2.130000, 1.610259, 1.329094, 1.618000, 1.332148 
2.140000, 1.609514, 1.328807, 1.617233, 1.331879 
2.150000, 1.608771, 1.328517, 1.616469, 1.331607 
2.160000, 1.608031, 1.328224, 1.615707, 1.331332 
2.170000, 1.607292, 1.327927, 1.614947, 1.331055 
2.180000, 1.606557, 1.327627, 1.614190, 1.330774 
2.190000, 1.605823, 1.327324, 1.613434, 1.330491 
2.200000, 1.605092, 1.327018, 1.612681, 1.330204 
2.210000, 1.604364, 1.326708, 1.611930, 1.329916 
2.220000, 1.603637, 1.326396, 1.611182, 1.329624 
2.230000, 1.602914, 1.326080, 1.610435, 1.329329 
2.240000, 1.602192, 1.325762, 1.609691, 1.329032 
2.250000, 1.601473, 1.325441, 1.608950, 1.328733 
2.260000, 1.600756, 1.325116, 1.608210, 1.328430 
2.270000, 1.600042, 1.324789, 1.607473, 1.328126 
2.280000, 1.599330, 1.324459, 1.606738, 1.327818 
2.290000, 1.598620, 1.324126, 1.606005, 1.327508 
2.300000, 1.597913, 1.323790, 1.605275, 1.327195 
2.310000, 1.597208, 1.323452, 1.604547, 1.326880 
2.320000, 1.596505, 1.323110, 1.603821, 1.326563 
2.330000, 1.595804, 1.322767, 1.603097, 1.326243 
2.340000, 1.595106, 1.322420, 1.602376, 1.325920 
2.350000, 1.594411, 1.322071, 1.601657, 1.325595 
2.360000, 1.593717, 1.321719, 1.600940, 1.325267 
2.370000, 1.593026, 1.321365, 1.600226, 1.324937 
2.380000, 1.592337, 1.321008, 1.599513, 1.324605 
2.390000, 1.591651, 1.320649, 1.598804, 1.324270 
2.400000, 1.590966, 1.320288, 1.598096, 1.323932 
2.410000, 1.590284, 1.319923, 1.597391, 1.323593 
2.420000, 1.589604, 1.319557, 1.596688, 1.323250 
2.430000, 1.588927, 1.319188, 1.595987, 1.322906 
2.440000, 1.588251, 1.318817, 1.595288, 1.322558 
2.450000, 1.587578, 1.318444, 1.594592, 1.322209 
2.460000, 1.586907, 1.318068, 1.593898, 1.321857 
2.470000, 1.586239, 1.317691, 1.593207, 1.321502 
2.480000, 1.585572, 1.317311, 1.592517, 1.321146 
2.490000, 1.584908, 1.316928, 1.591830, 1.320786 
2.500000, 1.584246, 1.316544, 1.591145, 1.320425 
2.510000, 1.583586, 1.316158, 1.590463, 1.320061 
2.520000, 1.582928, 1.315769, 1.589782, 1.319695 
2.530000, 1.582272, 1.315379, 1.589104, 1.319326 
2.540000, 1.581619, 1.314986, 1.588428, 1.318955 
2.550000, 1.580967, 1.314592, 1.587755, 1.318582 
2.560000, 1.580318, 1.314195, 1.587083, 1.318206 
2.570000, 1.579671, 1.313797, 1.586414, 1.317828 
2.580000, 1.579026, 1.313397, 1.585747, 1.317448 
2.590000, 1.578383, 1.312995, 1.585082, 1.317066 
2.600000, 1.577742, 1.312590, 1.584419, 1.316681 
2.610000, 1.577103, 1.312185, 1.583759, 1.316294 
2.620000, 1.576466, 1.311777, 1.583100, 1.315905 
2.630000, 1.575831, 1.311368, 1.582444, 1.315514 
2.640000, 1.575198, 1.310956, 1.581790, 1.315121 
2.650000, 1.574568, 1.310544, 1.581138, 1.314725 
2.660000, 1.573939, 1.310129, 1.580489, 1.314328 
2.670000, 1.573312, 1.309713, 1.579841, 1.313928 
2.680000, 1.572687, 1.309295, 1.579195, 1.313527 
2.690000, 1.572064, 1.308875, 1.578552, 1.313123 
2.700000, 1.571443, 1.308454, 1.577911, 1.312717 
2.710000, 1.570824, 1.308032, 1.577271, 1.312310 
2.720000, 1.570207, 1.307607, 1.576634, 1.311900 
2.730000, 1.569591, 1.307182, 1.575999, 1.311489 
2.740000, 1.568978, 1.306754, 1.575366, 1.311075 
2.750000, 1.568366, 1.306325, 1.574734, 1.310660 
2.760000, 1.567757, 1.305895, 1.574105, 1.310243 
2.770000, 1.567149, 1.305464, 1.573478, 1.309825 
2.780000, 1.566543, 1.305030, 1.572853, 1.309404 
2.790000, 1.565939, 1.304596, 1.572230, 1.308982 
2.800000, 1.565336, 1.304160, 1.571608, 1.308558 
2.810000, 1.564736, 1.303723, 1.570989, 1.308133 
2.820000, 1.564137, 1.303284, 1.570371, 1.307706 
2.830000, 1.563540, 1.302844, 1.569756, 1.307277 
2.840000, 1.562944, 1.302403, 1.569142, 1.306847 
2.850000, 1.562351, 1.301961, 1.568530, 1.306415 
2.860000, 1.561759, 1.301517, 1.567920, 1.305981 
2.870000, 1.561168, 1.301072, 1.567312, 1.305547 
2.880000, 1.560580, 1.300626, 1.566706, 1.305110 
2.890000, 1.559993, 1.300178, 1.566101, 1.304673 
2.900000, 1.559408, 1.299730, 1.565499, 1.304234 
2.910000, 1.558824, 1.299280, 1.564898, 1.303793 
2.920000, 1.558242, 1.298829, 1.564299, 1.303352 
2.930000, 1.557662, 1.298377, 1.563701, 1.302909 
2.940000, 1.557083, 1.297924, 1.563106, 1.302464 
2.950000, 1.556506, 1.297470, 1.562512, 1.302019 
2.960000, 1.555930, 1.297014, 1.561919, 1.301572 
2.970000, 1.555356, 1.296558, 1.561329, 1.301124 
2.980000, 1.554783, 1.296101, 1.560740, 1.300675 
2.990000, 1.554212, 1.295642, 1.560153, 1.300225 
3.000000, 1.553642, 1.295183, 1.559567, 1.299774 
3.010000, 1.553074, 1.294722, 1.558983, 1.299321 
3.020000, 1.552508, 1.294261, 1.558401, 1.298868 
3.030000, 1.551942, 1.293799, 1.557820, 1.298413 
3.040000, 1.551379, 1.293335, 1.557241, 1.297958 
3.050000, 1.550816, 1.292871, 1.556663, 1.297501 
3.060000, 1.550255, 1.292406, 1.556087, 1.297043 
3.070000, 1.549696, 1.291940, 1.555513, 1.296585 
3.080000, 1.549138, 1.291473, 1.554940, 1.296125 
3.090000, 1.548581, 1.291005, 1.554368, 1.295665 
3.100000, 1.548025, 1.290537, 1.553798, 1.295204 
3.110000, 1.547471, 1.290067, 1.553229, 1.294742 
3.120000, 1.546918, 1.289597, 1.552662, 1.294278 
3.130000, 1.546367, 1.289126, 1.552097, 1.293815 
3.140000, 1.545817, 1.288654, 1.551532, 1.293350 
3.150000, 1.545268, 1.288181, 1.550969, 1.292884 
3.160000, 1.544720, 1.287708, 1.550408, 1.292418 
3.170000, 1.544173, 1.287233, 1.549848, 1.291951 
3.180000, 1.543628, 1.286759, 1.549289, 1.291483 
3.190000, 1.543084, 1.286283, 1.548732, 1.291014 
3.200000, 1.542541, 1.285806, 1.548176, 1.290544 
3.210000, 1.541999, 1.285329, 1.547621, 1.290074 
3.220000, 1.541458, 1.284852, 1.547068, 1.289603 
3.230000, 1.540919, 1.284373, 1.546516, 1.289131 
3.240000, 1.540380, 1.283894, 1.545965, 1.288659 
3.250000, 1.539843, 1.283414, 1.545415, 1.288185 
3.260000, 1.539307, 1.282934, 1.544867, 1.287712 
3.270000, 1.538772, 1.282453, 1.544319, 1.287237 
3.280000, 1.538238, 1.281971, 1.543774, 1.286762 
3.290000, 1.537705, 1.281489, 1.543229, 1.286286 
3.300000, 1.537173, 1.281006, 1.542685, 1.285809 
3.310000, 1.536642, 1.280523, 1.542143, 1.285332 
3.320000, 1.536112, 1.280039, 1.541601, 1.284854 
3.330000, 1.535583, 1.279554, 1.541061, 1.284376 
3.340000, 1.535055, 1.279069, 1.540522, 1.283897 
3.350000, 1.534527, 1.278584, 1.539984, 1.283417 
3.360000, 1.534001, 1.278098, 1.539447, 1.282937 
3.370000, 1.533476, 1.277611, 1.538912, 1.282456 
3.380000, 1.532952, 1.277124, 1.538377, 1.281975 
3.390000, 1.532428, 1.276636, 1.537843, 1.281493 
3.400000, 1.531905, 1.276148, 1.537311, 1.281010 
3.410000, 1.531383, 1.275660, 1.536779, 1.280527 
3.420000, 1.530862, 1.275171, 1.536248, 1.280044 
3.430000, 1.530342, 1.274681, 1.535719, 1.279560 
3.440000, 1.529823, 1.274191, 1.535190, 1.279075 
3.450000, 1.529304, 1.273701, 1.534662, 1.278590 
3.460000, 1.528786, 1.273210, 1.534135, 1.278104 
3.470000, 1.528269, 1.272719, 1.533609, 1.277618 
3.480000, 1.527753, 1.272228, 1.533084, 1.277131 
3.490000, 1.527237, 1.271736, 1.532560, 1.276644 
3.500000, 1.526722, 1.271244, 1.532037, 1.276156 
3.510000, 1.526208, 1.270751, 1.531514, 1.275668 
3.520000, 1.525695, 1.270258, 1.530992, 1.275180 
3.530000, 1.525182, 1.269765, 1.530472, 1.274691 
3.540000, 1.524669, 1.269271, 1.529952, 1.274201 
3.550000, 1.524158, 1.268777, 1.529432, 1.273711 
3.560000, 1.523647, 1.268283, 1.528914, 1.273221 
3.570000, 1.523136, 1.267788, 1.528396, 1.272730 
3.580000, 1.522626, 1.267293, 1.527879, 1.272239 
3.590000, 1.522117, 1.266798, 1.527363, 1.271748 
3.600000, 1.521608, 1.266302, 1.526847, 1.271256 
3.610000, 1.521100, 1.265807, 1.526332, 1.270764 
3.620000, 1.520592, 1.265311, 1.525818, 1.270271 
3.630000, 1.520085, 1.264814, 1.525305, 1.269778 
3.640000, 1.519578, 1.264318, 1.524792, 1.269285 
3.650000, 1.519071, 1.263821, 1.524280, 1.268791 
3.660000, 1.518565, 1.263324, 1.523768, 1.268297 
3.670000, 1.518060, 1.262827, 1.523257, 1.267803 
3.680000, 1.517555, 1.262329, 1.522746, 1.267308 
3.690000, 1.517050, 1.261832, 1.522236, 1.266814 
3.700000, 1.516546, 1.261334, 1.521727, 1.266318 
3.710000, 1.516042, 1.260836, 1.521218, 1.265823 
3.720000, 1.515538, 1.260338, 1.520710, 1.265327 
3.730000, 1.515035, 1.259839, 1.520202, 1.264831 
3.740000, 1.514532, 1.259341, 1.519694, 1.264335 
3.750000, 1.514029, 1.258842, 1.519187, 1.263839 
3.760000, 1.513527, 1.258343, 1.518681, 1.263342 
3.770000, 1.513025, 1.257844, 1.518175, 1.262845 
3.780000, 1.512523, 1.257345, 1.517669, 1.262348 
3.790000, 1.512022, 1.256846, 1.517164, 1.261850 
3.800000, 1.511520, 1.256347, 1.516659, 1.261353 
3.810000, 1.511019, 1.255847, 1.516155, 1.260855 
3.820000, 1.510518, 1.255348, 1.515651, 1.260357 
3.830000, 1.510017, 1.254848, 1.515147, 1.259859 
3.840000, 1.509516, 1.254349, 1.514643, 1.259361 
3.850000, 1.509016, 1.253849, 1.514140, 1.258863 
3.860000, 1.508515, 1.253349, 1.513637, 1.258364 
3.870000, 1.508015, 1.252849, 1.513135, 1.257865 
3.880000, 1.507515, 1.252349, 1.512632, 1.257367 
3.890000, 1.507015, 1.251849, 1.512130, 1.256868 
3.900000, 1.506515, 1.251350, 1.511628, 1.256369 
3.910000, 1.506015, 1.250850, 1.511127, 1.255870 
3.920000, 1.505515, 1.250350, 1.510625, 1.255370 
3.930000, 1.505015, 1.249850, 1.510124, 1.254871 
3.940000, 1.504515, 1.249350, 1.509623, 1.254372 
3.950000, 1.504015, 1.248850, 1.509122, 1.253872 
3.960000, 1.503515, 1.248350, 1.508621, 1.253373 
3.970000, 1.503014, 1.247850, 1.508120, 1.252874 
3.980000, 1.502514, 1.247350, 1.507619, 1.252374 
3.990000, 1.502014, 1.246850, 1.507119, 1.251874 
4.000000, 1.501514, 1.246350, 1.506618, 1.251375 
